Question,Answer,Class
Hi ,I am here to help your FAQ. Kindly type the keyword here ,Genral
What are the contact details of the Department of Administrative Reforms and Public Grievances?,Department of Administrative Reforms and Public Grievances 5th floor Sardar Patel Bhavan Sansad Marg New Delhi 110001 ,contact
Where can the grievances be sent?,The grievances can be sent to  The Department of Administrative Reforms and Public Grievances.The Department of Administrative Reforms and Public Grievances.(DAR&PG) (pgportal.gov.in).  The Department of Pensions and Pensioners Welfare.(DP&PW) (pgportal.gov.in/pension/),sent
How do I lodge the grievance?,"The grievances can be lodged online on . In cases where internet facility is not available or even otherwise, the citizen is free to send her/his grievance by Post. There is no prescribed format. The grievance may be written on any plain sheet of paper or on a Postcard / Inland letter and addressed to the Department.",lodge
What happens when I lodge the grievance?,The grievance is acknowledged online or by post. A unique registration number is given to each grievance.,
How do I track my grievance?,It may be tracked on the pgportal using view status link and after providing unique registration number., grievances
What happens to the grievances? How are the grievances dealt with in Central Ministries/Departments?,"Every Central Ministry / Department has designated a Joint Secretary or a Director / Deputy Secretary, as its Director of Grievances. He / She is the nodal officer for redress of grievances on work areas allocated to that particular Ministry / Department.",track
"After redress, can the grievance be re-opened for further correspondence about it having been closed without details etc.?","No. In such situations, the citizen will have to lodge a fresh grievance drawing reference to the closed grievance, and call for details. Sometimes, the details are sent by post and mentioned in the final report. The postal delivery may be awaited before lodging a fresh grievance", grievances
What are the contact details of the Nodal Officers of Public Grievances in Ministries/Departments?,"The list is accessible on the Departments website at In addition to this, it is also available in the Citizens Charter of the Ministries/Departments hosted on their websites.",contact
What is the system of granting personal hearing on grievances?,Every Wednesday of the week has been earmarked for receiving and hearing of grievances by the Director of Public Grievances in person.,personal hearing
What are the types of grievances which are not taken up for redress by the Department?,Subjudice cases or any matter concerning judgment given by any court. Personal and family disputes.RTI matters.Anything that impacts upon territorial integrity of the country or friendly relations with other countries, grievances
What is the role of Department of Administrative Reforms and Public Grievances (DARPG) with reference to the grievances concerning Central Ministries/Departments/ Organizations?,"The Department of Administrative Reforms  Public Grievances is the chief policy making, monitoring and coordinating Department for public grievances arising from the work of Ministries/Departments/Organizations of the Government of India. The grievances received in the department are forwarded to the Ministries/Departments concerned. Redressal of grievances is done by respective Ministries/Departments in a decentralized manner. The Department periodically reviews the status of redressal of public grievances under CPGRAMS of Ministries/Departments for speedy disposal of grievances / complaints.",role
hat is the time limit for redress of grievance?,Sixty (60) days. In case of delay an interim reply with reasons for delay is required to be given.,time
What action can be taken by me in case of non-redress of my grievance within the prescribed time?,You may take up the matter with the Director of Public Grievances of the Ministry/Department concerned whose details are available on the pgportal.,action
then,sorry I am unablee to answer this question,
